,,,Limstox360,Freezio_,MonMauvais,GoldMonster338,geek59,Naos0,acdc_zdnl,roselfe,Gaethap,alin,Razor2759,JojoLapero,rathur000,Cronox54,reppssomewhiles,heineswatchbook,uncessynthesize,stagescurfiness,vulvomishitting,ahemsdedicating,atokeholographs,horalrecognised,dillycrabapples,elriclespiques,shivaperiegeses,sykerconcretize,cholicaptivated,sinewrisibility,IntegraleEpice,syncsjasperizes,foliaperseveres,naturalizee,agonykettledrum,stupadisinvests,tennoasbestosis,salutunbreeched
stats,minecraft:broken,minecraft:golden_sword,11.0,28.0,28.0,4.0,28.0,20.0,20.0,20.0,28.0,15.0,28.0,7.0,20.0,28.0,7.0,11.0,2.0,28.0,15.0,11.0,9.0,15.0,28.0,11.0,15.0,28.0,20.0,20.0,1.0,9.0,15.0,5.0,20.0,6.0,20.0,3.0
stats,minecraft:broken,minecraft:iron_axe,9.0,24.0,18.0,24.0,18.0,7.0,12.0,24.0,14.0,1.0,24.0,3.0,18.0,24.0,4.0,18.0,8.0,14.0,18.0,18.0,24.0,14.0,24.0,24.0,9.0,12.0,24.0,4.0,2.0,14.0,4.0,24.0,24.0,24.0,24.0,9.0
stats,minecraft:broken,minecraft:iron_boots,9.0,9.0,9.0,16.0,16.0,9.0,16.0,16.0,16.0,1.0,16.0,4.0,16.0,16.0,16.0,16.0,9.0,16.0,4.0,16.0,16.0,16.0,16.0,16.0,4.0,16.0,16.0,16.0,2.0,4.0,3.0,9.0,16.0,16.0,4.0,9.0
stats,minecraft:broken,minecraft:iron_chestplate,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0,12.0,7.0,12.0,12.0,12.0,7.0,7.0,12.0,3.0,12.0,12.0,12.0,12.0,12.0,3.0,12.0,12.0,12.0,2.0,12.0,3.0,7.0,12.0,12.0,3.0,12.0
stats,minecraft:broken,minecraft:iron_helmet,12.0,12.0,5.0,20.0,5.0,5.0,20.0,20.0,20.0,1.0,20.0,12.0,12.0,20.0,20.0,5.0,12.0,20.0,3.0,20.0,12.0,20.0,20.0,20.0,5.0,12.0,20.0,5.0,3.0,20.0,2.0,12.0,20.0,20.0,5.0,20.0
stats,minecraft:broken,minecraft:iron_hoe,6.0,14.0,14.0,14.0,14.0,6.0,2.0,14.0,14.0,2.0,14.0,14.0,6.0,6.0,4.0,14.0,6.0,14.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,14.0,14.0,5.0,14.0,6.0,14.0,14.0,14.0,14.0,6.0
stats,minecraft:broken,minecraft:iron_leggings,9.0,18.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,1.0,18.0,9.0,18.0,18.0,18.0,9.0,4.0,18.0,9.0,9.0,18.0,18.0,18.0,18.0,4.0,18.0,9.0,9.0,2.0,9.0,3.0,9.0,18.0,18.0,4.0,4.0
stats,minecraft:broken,minecraft:iron_pickaxe,20.0,35.0,3.0,24.0,7.0,4.0,24.0,31.0,14.0,1.0,31.0,5.0,16.0,6.0,16.0,9.0,2.0,31.0,7.0,9.0,20.0,28.0,9.0,24.0,20.0,16.0,28.0,9.0,24.0,16.0,13.0,28.0,35.0,31.0,14.0,20.0
stats,minecraft:broken,minecraft:iron_shovel,13.0,23.0,7.0,23.0,4.0,3.0,23.0,23.0,16.0,1.0,16.0,11.0,16.0,23.0,13.0,23.0,12.0,2.0,23.0,23.0,16.0,23.0,23.0,16.0,9.0,5.0,23.0,9.0,6.0,7.0,23.0,16.0,23.0,13.0,23.0,16.0
stats,minecraft:broken,minecraft:iron_sword,20.0,20.0,10.0,13.0,20.0,4.0,20.0,20.0,20.0,1.0,20.0,6.0,13.0,20.0,6.0,3.0,10.0,20.0,20.0,13.0,13.0,20.0,20.0,20.0,20.0,20.0,13.0,10.0,6.0,13.0,2.0,13.0,20.0,20.0,5.0,9.0
stats,minecraft:broken,minecraft:leather_boots,13.0,9.0,13.0,13.0,9.0,3.0,13.0,13.0,9.0,5.0,13.0,13.0,13.0,13.0,13.0,5.0,13.0,13.0,5.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,5.0,2.0,4.0,9.0,1.0,13.0,13.0,13.0,13.0
stats,minecraft:broken,minecraft:leather_chestplate,11.0,11.0,11.0,11.0,3.0,5.0,11.0,11.0,5.0,5.0,11.0,11.0,11.0,11.0,11.0,5.0,11.0,11.0,5.0,11.0,11.0,11.0,11.0,5.0,11.0,11.0,11.0,11.0,1.0,3.0,11.0,2.0,11.0,11.0,11.0,11.0
stats,minecraft:broken,minecraft:leather_helmet,14.0,6.0,14.0,14.0,6.0,3.0,14.0,14.0,6.0,14.0,14.0,6.0,14.0,14.0,14.0,3.0,6.0,14.0,6.0,14.0,14.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0,3.0,14.0,2.0,14.0,14.0,6.0,14.0
stats,minecraft:broken,minecraft:leather_leggings,11.0,11.0,11.0,11.0,8.0,4.0,11.0,11.0,8.0,2.0,11.0,11.0,11.0,11.0,11.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,11.0,11.0,3.0,4.0,11.0,1.0,11.0,11.0,4.0,11.0
stats,minecraft:broken,minecraft:netherite_axe,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
stats,minecraft:broken,minecraft:netherite_boots,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,1.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
stats,minecraft:broken,minecraft:netherite_chestplate,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
stats,minecraft:broken,minecraft:netherite_helmet,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
stats,minecraft:broken,minecraft:netherite_hoe,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:broken,minecraft:netherite_leggings,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:broken,minecraft:netherite_pickaxe,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0
stats,minecraft:broken,minecraft:netherite_shovel,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
stats,minecraft:broken,minecraft:shears,26.0,10.0,15.0,22.0,18.0,28.0,7.0,33.0,22.0,1.0,20.0,8.0,11.0,3.0,6.0,5.0,12.0,33.0,14.0,26.0,4.0,29.0,31.0,32.0,33.0,2.0,15.0,25.0,22.0,20.0,18.0,12.0,15.0,29.0,33.0,9.0
stats,minecraft:broken,minecraft:shield,14.0,5.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,11.0,11.0,14.0,8.0,6.0,4.0,14.0,2.0,14.0,14.0,10.0,8.0,14.0,14.0,6.0,14.0,14.0,11.0,1.0,14.0,3.0,14.0,14.0,14.0,14.0,14.0
stats,minecraft:broken,minecraft:stone_axe,20.0,28.0,28.0,28.0,3.0,8.0,12.0,28.0,12.0,1.0,28.0,20.0,20.0,12.0,4.0,5.0,2.0,20.0,12.0,10.0,28.0,20.0,12.0,20.0,20.0,12.0,28.0,12.0,20.0,8.0,5.0,10.0,28.0,28.0,12.0,5.0
stats,minecraft:broken,minecraft:stone_hoe,7.0,14.0,14.0,14.0,14.0,7.0,3.0,7.0,14.0,2.0,5.0,14.0,14.0,14.0,5.0,14.0,7.0,14.0,14.0,4.0,14.0,14.0,14.0,14.0,14.0,7.0,14.0,14.0,1.0,14.0,14.0,14.0,14.0,7.0,14.0,7.0
stats,minecraft:broken,minecraft:stone_pickaxe,16.0,16.0,13.0,28.0,5.0,8.0,16.0,16.0,16.0,3.0,30.0,30.0,30.0,26.0,10.0,16.0,1.0,28.0,10.0,7.0,30.0,16.0,30.0,6.0,10.0,16.0,30.0,26.0,13.0,4.0,16.0,9.0,16.0,30.0,2.0,13.0
stats,minecraft:broken,minecraft:stone_shovel,16.0,8.0,24.0,5.0,2.0,7.0,24.0,24.0,24.0,1.0,24.0,24.0,16.0,16.0,8.0,24.0,3.0,8.0,24.0,4.0,24.0,16.0,24.0,6.0,16.0,8.0,13.0,24.0,16.0,16.0,16.0,8.0,24.0,24.0,15.0,14.0
stats,minecraft:broken,minecraft:stone_sword,15.0,15.0,15.0,9.0,2.0,6.0,15.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,3.0,6.0,3.0,15.0,15.0,15.0,15.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,9.0,6.0,12.0,15.0,15.0,3.0,12.0
stats,minecraft:broken,minecraft:wooden_axe,9.0,9.0,9.0,9.0,9.0,7.0,9.0,4.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0
stats,minecraft:broken,minecraft:wooden_hoe,7.0,12.0,12.0,12.0,12.0,12.0,1.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,7.0,12.0,12.0,12.0,12.0,2.0,12.0,9.0,12.0,12.0,12.0,9.0,12.0,9.0,3.0,12.0,12.0,12.0,5.0,6.0,12.0,12.0
stats,minecraft:broken,minecraft:wooden_pickaxe,10.0,10.0,2.0,10.0,10.0,3.0,10.0,10.0,3.0,1.0,10.0,3.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,3.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0
stats,minecraft:broken,minecraft:wooden_shovel,12.0,12.0,12.0,4.0,12.0,9.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0,12.0,9.0,12.0,3.0,2.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,12.0,4.0,4.0,7.0,12.0,12.0,12.0,12.0,9.0,12.0
stats,minecraft:broken,minecraft:wooden_sword,6.0,6.0,2.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0
stats,minecraft:crafted,minecraft:acacia_boat,22.0,10.0,22.0,22.0,5.0,5.0,3.0,22.0,5.0,1.0,22.0,22.0,10.0,10.0,4.0,5.0,10.0,10.0,10.0,10.0,22.0,22.0,22.0,22.0,22.0,22.0,5.0,22.0,2.0,22.0,22.0,10.0,10.0,10.0,10.0,10.0
stats,minecraft:crafted,minecraft:acacia_button,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:acacia_door,8.0,16.0,16.0,4.0,16.0,3.0,7.0,8.0,16.0,2.0,16.0,16.0,16.0,16.0,16.0,16.0,8.0,8.0,16.0,8.0,5.0,16.0,16.0,16.0,16.0,16.0,8.0,16.0,1.0,8.0,16.0,8.0,16.0,16.0,16.0,5.0
stats,minecraft:crafted,minecraft:acacia_fence,10.0,11.0,19.0,2.0,12.0,19.0,19.0,19.0,14.0,3.0,15.0,19.0,19.0,17.0,7.0,19.0,19.0,5.0,19.0,4.0,12.0,19.0,19.0,19.0,19.0,8.0,19.0,19.0,6.0,19.0,19.0,17.0,19.0,9.0,15.0,1.0
stats,minecraft:crafted,minecraft:acacia_fence_gate,12.0,12.0,12.0,4.0,12.0,12.0,7.0,9.0,12.0,2.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,7.0,12.0,12.0,9.0,12.0,12.0,11.0,12.0,3.0,12.0,1.0
stats,minecraft:crafted,minecraft:acacia_planks,32.0,6.0,22.0,18.0,12.0,9.0,17.0,32.0,20.0,5.0,14.0,31.0,27.0,15.0,10.0,4.0,24.0,32.0,23.0,1.0,2.0,16.0,28.0,32.0,32.0,3.0,29.0,25.0,8.0,21.0,19.0,13.0,30.0,7.0,26.0,11.0
stats,minecraft:crafted,minecraft:acacia_pressure_plate,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,6.0,2.0,6.0,6.0
stats,minecraft:crafted,minecraft:acacia_sapling,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
stats,minecraft:crafted,minecraft:acacia_sign,12.0,12.0,8.0,12.0,12.0,12.0,5.0,12.0,12.0,12.0,12.0,9.0,12.0,12.0,1.0,9.0,12.0,12.0,12.0,7.0,9.0,12.0,12.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3.0,5.0,2.0
stats,minecraft:crafted,minecraft:acacia_slab,15.0,6.0,15.0,15.0,4.0,11.0,3.0,15.0,15.0,8.0,9.0,15.0,15.0,13.0,5.0,10.0,11.0,15.0,15.0,15.0,2.0,15.0,15.0,15.0,15.0,1.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,7.0
stats,minecraft:crafted,minecraft:acacia_stairs,3.0,8.0,14.0,14.0,6.0,14.0,14.0,14.0,14.0,1.0,8.0,14.0,14.0,2.0,5.0,7.0,14.0,14.0,14.0,14.0,4.0,14.0,14.0,14.0,14.0,12.0,14.0,14.0,10.0,14.0,14.0,11.0,14.0,12.0,14.0,14.0
stats,minecraft:crafted,minecraft:acacia_trapdoor,13.0,6.0,13.0,4.0,13.0,13.0,10.0,13.0,13.0,1.0,8.0,13.0,13.0,7.0,13.0,11.0,11.0,13.0,13.0,13.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2.0,13.0,13.0,13.0,9.0,13.0,13.0,5.0
stats,minecraft:crafted,minecraft:acacia_wood,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
stats,minecraft:crafted,minecraft:activator_rail,4.0,12.0,12.0,4.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.0,12.0,4.0,3.0,2.0,4.0,12.0,4.0,12.0,12.0,4.0,12.0,12.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0
stats,minecraft:crafted,minecraft:air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stats,minecraft:crafted,minecraft:allium,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
stats,minecraft:crafted,minecraft:amethyst_block,12.0,12.0,9.0,12.0,12.0,5.0,12.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3.0,12.0,12.0,12.0,7.0,9.0,12.0,12.0,12.0,2.0,12.0,4.0,1.0,6.0,12.0,12.0,9.0,12.0,12.0,12.0
stats,minecraft:crafted,minecraft:andesite,8.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,8.0,5.0,8.0
stats,minecraft:crafted,minecraft:andesite_slab,17.0,17.0,17.0,17.0,1.0,17.0,12.0,17.0,17.0,5.0,17.0,12.0,17.0,17.0,17.0,8.0,12.0,17.0,3.0,6.0,10.0,17.0,7.0,17.0,11.0,9.0,17.0,17.0,2.0,12.0,17.0,12.0,4.0,17.0,17.0,17.0
stats,minecraft:crafted,minecraft:andesite_stairs,15.0,8.0,15.0,15.0,1.0,15.0,4.0,15.0,2.0,3.0,15.0,8.0,15.0,15.0,15.0,15.0,8.0,15.0,5.0,8.0,8.0,15.0,8.0,15.0,6.0,6.0,15.0,15.0,15.0,15.0,15.0,8.0,15.0,15.0,15.0,15.0
stats,minecraft:crafted,minecraft:andesite_wall,16.0,16.0,2.0,16.0,6.0,16.0,16.0,16.0,16.0,1.0,16.0,16.0,7.0,3.0,16.0,16.0,12.0,16.0,4.0,16.0,8.0,16.0,12.0,16.0,10.0,11.0,16.0,5.0,16.0,8.0,16.0,12.0,12.0,16.0,16.0,16.0
